Record Number,Aspect Value,Aspect Name
37,Trainers,B-Produktart
37,-,B-No Tag
37,NEU,I-No Tag
37,OVP,I-No Tag
38,Sportschuhe,B-Produktart
38,Herren,B-Abteilung
38,Adidas,B-Marke
38,Terrex,B-Produktlinie
38,Tracerocker GTX,B-Modell
38,Größe,B-No Tag
38,45,B-EU-Schuhgröße
38,10 1/2,B-UK-Schuhgröße
38,Schwarz,B-Farbe
39,Legero,B-Marke
39,Damen,B-Abteilung
39,Sneaker,B-Stil
39,Echtleder,B-Obermaterial
39,NEU,B-No Tag
39,-,I-No Tag
39,A-Ware,I-No Tag
40,BÄR,B-Marke
40,schuhe,B-Produktart
40,damen,B-Abteilung
40,40,B-EU-Schuhgröße
40,",",B-No Tag
40,Schwarz,B-Farbe
40,",",B-No Tag
40,Modell,I-No Tag
40,Arnstein,B-Modell
40,",",B-No Tag
40,1x,I-No Tag
40,Getragen,I-No Tag
40,",",I-No Tag
40,Neupreis,I-No Tag
40,209,I-No Tag
40,€,I-No Tag
41,B1974,B-Herstellernummer
41,sneaker,B-Stil
41,donna,B-Abteilung
41,TOD 'S,B-Marke
41,SPORTIVO,B-No Tag
41,YO ALLACCIATA,B-Modell
41,argento,B-Farbe
41,/,B-No Tag
41,blu,B-Farbe
41,shoe,B-Produktart
41,woman,B-Abteilung
42,Onitsuka Tiger,B-Marke
42,Rebilac,B-Modell
42,Runner,B-Produktart
42,Herren,B-Abteilung
42,Freizeit,B-Anlass
42,Retro,B-Thema
42,Schuhe,B-Produktart
42,Sneaker,B-Stil
42,1183A396-750,B-Herstellernummer
43,Skechers,B-Marke
43,Bounder,B-Modell
43,Herren,B-Abteilung
43,Schuhe,B-Produktart
43,Sneaker,B-Stil
43,Turnschuhe,B-Produktart
43,52504,B-Herstellernummer
43,(,B-No Tag
43,Weiß-WHT,B-Farbe
43,),B-No Tag
44,Art 121,B-Modell
44,Neon,B-Farbe
44,Turnschuhe Schuhe,B-Produktart
44,Sneaker,B-Stil
44,Sportschuhe,B-Produktart
44,Neu,B-No Tag
44,Herren,B-Abteilung
45,Lacoste,B-Marke
45,Lewiston AP SRM,B-Modell
45,dk brown,B-Farbe
45,Schuhe,B-Produktart
45,/,B-No Tag
45,Sneaker,B-Stil
45,Größenauswahl,B-No Tag
46,Balerinas Stoffschuhe,B-Produktart
46,Retro,B-No Tag
46,gr,I-No Tag
46,39,B-EU-Schuhgröße
46,gerne,B-No Tag
46,Getragen,I-No Tag
46,Sandalen,B-Produktart
46,Gebraucht,B-No Tag
46,Sammler,I-No Tag
47,Skechers,B-Marke
47,Bobs Squad,B-Produktlinie
47,Breeze Way,B-Modell
47,Damen,B-Abteilung
47,Sneaker,B-Stil
47,|,B-No Tag
47,Turnschuh,B-Produktart
47,|,B-No Tag
47,Sportschuh,B-Produktart
47,|,B-No Tag
47,Textil,B-Obermaterial
47,-,B-No Tag
48,Puma,B-Marke
48,Smash,B-Modell
48,Wns,B-Abteilung
48,V2 SD,B-Modell
48,Damen,B-Abteilung
48,Schuhe,B-Produktart
48,Sneaker,B-Stil
48,Turnschuhe,B-Produktart
48,365313 10,B-Herstellernummer
48,Leder,B-Obermaterial
48,Soft Foam,B-Zwischensohlen-Typ
49,ROOS,B-Marke
49,RED,B-Farbe
49,RAMSES,B-Modell
49,47070,B-Herstellernummer
49,Erwachsenen,B-Abteilung
49,Sneaker,B-Stil
49,Turnschuhe Halbschuhe,B-Produktart
49,Neu,B-No Tag
49,Braun,B-Farbe
49,/,B-No Tag
49,Blau,B-Farbe
50,PUMA,B-Marke
50,Evolution Play,B-Modell
50,Black,B-Farbe
50,and,B-No Tag
50,White,B-Farbe
50,Sneaker,B-Stil
50,Schuhe,B-Produktart
50,Männer,B-Abteilung
50,Neu,B-No Tag
51,ORIGINAL,B-No Tag
51,ADIDAS,B-Marke
51,GAZELLE J,B-Modell
51,CQ2874,B-Herstellernummer
51,DAMEN,B-Abteilung
51,SNEAKER,B-Stil
51,TURNSCHUHE,B-Produktart
51,FITNESS,B-Aktivität
51,BURGUNDER,B-Farbe
52,Art 872,B-Modell
52,Übergröße,B-No Tag
52,Luftpolster,B-Dämpfungsgrad
52,Turnschuhe Schuhe,B-Produktart
52,Sneaker,B-Stil
52,Sportschuhe Laufschuhe,B-Produktart
53,Herren,B-Abteilung
53,Laufschuhe,B-Produktart
53,Atmungsaktiv,B-Besonderheiten
53,Sports,B-Anlass
53,Freizeitschuhe Sockenschuhe,B-Produktart
53,Gr,B-No Tag
53,.,I-No Tag
53,39-44,B-EU-Schuhgröße
54,New Balance,B-Marke
54,M1991,B-Herstellernummer
54,XG,B-Modell
54,grey,B-Farbe
54,Sneaker,B-Stil
54,Schuhe,B-Produktart
54,Made,B-No Tag
54,in,I-No Tag
54,England,B-Herstellungsland und -region
54,grau,B-Farbe
55,Herren,B-Abteilung
55,Sneaker,B-Stil
55,Trekkingschuhe,B-Produktart
55,Outdoor,B-Anlass
55,Wanderschuhe Freizeitschuhe,B-Produktart
55,Schwarz,B-Farbe
55,44,B-EU-Schuhgröße
56,Damenschuhe,B-Abteilung
56,Plateau,B-No Tag
56,Halbschuhe,B-Produktart
56,Light,B-Besonderheiten
56,Slipper,B-No Tag
56,Sneaker,B-Stil
56,Turnschuhe,B-Produktart
56,Ballerina,B-Stil
56,Mesh,B-Gewebeart
57,Nike,B-Marke
57,Air Zoom,B-Produktlinie
57,SuperRep 2,B-Modell
57,Herren,B-Abteilung
57,Trainingsschuhe,B-Produktart
57,Schwarz-weiß,B-Farbe
57,Gr,B-No Tag
57,".42,5",B-EU-Schuhgröße
57,.,B-No Tag
57,NEU,I-No Tag
57,!,I-No Tag
58,NEU,B-No Tag
58,Dockers,B-Marke
58,Herrenschuhe,B-Abteilung
58,Schuhe,B-Produktart
58,Sneaker,B-Stil
58,Canvas,B-Gewebeart
58,Halbschuhe Schnürschuhe,B-Produktart
58,Freizeit,B-Anlass
59,moncler,B-Marke
59,Monaco,B-Modell
60,Reebok,B-Marke
60,Classic,B-Produktlinie
60,Leather,B-Obermaterial
60,"36 37 38 38,5 39 40",B-EU-Schuhgröße
60,BS7898,B-Herstellernummer
60,melted metals,B-Produktlinie
60,princess spirit,B-Modell
61,Converse,B-Marke
61,Chucks,B-Produktlinie
61,Sneaker,B-Stil
61,All Star Taylor,B-Produktlinie
61,High,B-Schuhschaft-Typ
61,Turnschuh Schuhe,B-Produktart
61,Canvas,B-Gewebeart
61,Miley Cyrus,B-Produktlinie
62,Nike,B-Marke
62,Air Max,B-Produktlinie
62,97 RFT,B-Modell
62,(,B-No Tag
62,GS,B-Abteilung
62,),B-No Tag
62,Gr,I-No Tag
62,.,I-No Tag
62,"36,5",B-EU-Schuhgröße
62,Neu,B-No Tag
62,&,I-No Tag
62,OVP,I-No Tag
62,BQ8437 001,B-Herstellernummer
62,Damen Kinder,B-Abteilung
62,Sneaker,B-Stil
63,Lico,B-Marke
63,by,B-No Tag
63,Sparco,B-Marke
63,Mecha,B-Modell
63,Alltagsschuhe Turnschuhe,B-Produktart
63,Sport,B-Anlass
63,36,B-EU-Schuhgröße
64,Nike,B-Marke
64,Grandstand II,B-Modell
64,"36 38 40 40,5 41 42",B-EU-Schuhgröße
64,classic,B-Produktlinie
64,blazer,B-Modell
64,Tennis,B-Aktivität
64,AA2190 100,B-Herstellernummer
65,Nike,B-Marke
65,SB Dunk,B-Produktlinie
65,Low,B-Schuhschaft-Typ
65,Civilist,B-Modell
65,CZ5123-001,B-Herstellernummer
66,Adidas,B-Marke
66,München,B-Modell
66,Oktoberfest,B-Thema
66,MIG,B-Modell
66,Sneaker,B-Stil
66,Turnschuhe,B-Produktart
66,BY9805,B-Herstellernummer
66,braun,B-Farbe
66,Leder,B-Obermaterial
66,"38,5-41",B-EU-Schuhgröße
66,NEU,B-No Tag
67,Herren,B-Abteilung
67,Luftpolster,B-Dämpfungsgrad
67,Laufschuhe,B-Produktart
67,Jogging Fitness Tennis Workout,B-Aktivität
67,Bequem,B-No Tag
67,Mode,I-No Tag
67,Sneaker,B-Stil
68,Skechers,B-Marke
68,Arch-Fit PARADYME,B-Modell
68,Herren,B-Abteilung
68,Sneaker,B-Stil
68,232041,B-Herstellernummer
68,BBK schwarz,B-Farbe
69,Converse,B-Marke
69,Chucks Taylor All Star Ctas,B-Produktlinie
69,Ox,B-Modell
69,Low,B-Schuhschaft-Typ
69,Damen,B-Abteilung
69,Schuhe,B-Produktart
69,Sneaker,B-Stil
69,560648C,B-Herstellernummer
69,(,B-No Tag
69,Weiss,B-Farbe
69,),B-No Tag
70,Onitsuka Tiger,B-Marke
70,Corsair,B-Modell
70,Gelb,B-Farbe
70,Herren,B-Abteilung
70,Freizeit,B-Anlass
70,Retro,B-Thema
70,Schuhe,B-Produktart
70,Sport,B-Anlass
70,Sneaker,B-Stil
71,Esgano,B-Marke
71,High,B-Schuhschaft-Typ
71,Sneaker,B-Stil
71,blau jeans,B-Farbe
71,Leder,B-Obermaterial
71,used,B-No Tag
71,Sohle,I-No Tag
71,weiß,B-Farbe
71,0341500 274,B-Herstellernummer
71,Reißverschluß,B-Verschluss
72,Nike,B-Marke
72,Air Force 1,B-Produktlinie
72,Herren,B-Abteilung
72,White,B-Farbe
72,Leder,B-Obermaterial
72,&,B-No Tag
72,Synthetik,B-Obermaterial
72,Sneaker,B-Stil
72,Mode,B-No Tag
73,adidas,B-Marke
73,Continental 80,B-Modell
73,"38 38,5 39 42,5 43",B-EU-Schuhgröße
73,B41673,B-Herstellernummer
73,80 's,B-Thema
73,sTaN sMiTh,B-Produktlinie
73,rOd LaveR LeNdl,B-Modell
74,Herren Damen,B-Abteilung
74,Laufschuhe,B-Produktart
74,Profilsohle,B-Besonderheiten
74,Sportschuhe,B-Produktart
74,Schnürer,B-Verschluss
74,Fitness,B-Aktivität
74,810679,B-No Tag
74,Schuhe,B-Produktart
75,Hackett,B-Marke
75,Sneaker,B-Stil
75,",",B-No Tag
75,Winfield,B-Modell
75,",",B-No Tag
75,Gr,I-No Tag
75,.40,B-EU-Schuhgröße
75,",",B-No Tag
75,Neu,I-No Tag
76,TOP,B-No Tag
76,NIKE,B-Marke
76,AIR MAX,B-Produktlinie
76,PLUS NIC QS,B-Modell
76,Gr,B-No Tag
76,.43,B-EU-Schuhgröße
76,COLOR 100,B-No Tag
76,*,I-No Tag
76,NEU,I-No Tag
76,*,I-No Tag
76,WM,B-Abteilung
76,2018,B-Erscheinungsjahr
76,*,B-No Tag
76,RUSSIA,B-Modell
77,NEU,B-No Tag
77,Converse,B-Marke
77,CT All Star,B-Produktlinie
77,Selene,B-Modell
77,Monochrome,B-Farbe
77,Leather,B-Obermaterial
77,Women,B-Abteilung
77,Gr,B-No Tag
77,.,I-No Tag
77,39,B-EU-Schuhgröße
77,Chuck Taylor,B-Produktlinie
78,ASICS,B-Marke
78,HERREN,B-Abteilung
78,TURNSCHUHE FREIZEITSCHUHE,B-Produktart
78,SNEAKER,B-Stil
78,ART,B-No Tag
78,.,I-No Tag
78,GEL-LYTE,B-Produktlinie
78,III,B-Modell
78,H5E3L,B-Herstellernummer
79,Kappa,B-Marke
79,Sneaker,B-Stil
79,Unisex,B-Abteilung
79,Turnschuh,B-Produktart
79,242765,B-Herstellernummer
79,schwarz,B-Farbe
80,New Balance,B-Marke
80,ML 574 EGK,B-Modell
80,Classic,B-Produktlinie
80,Sneaker,B-Stil
80,Herren,B-Abteilung
80,Schuhe,B-Produktart
80,schwarz,B-Farbe
81,Vans,B-Marke
81,SK8-HI Slim,B-Modell
81,(,B-No Tag
81,Della,B-Modell
81,),B-No Tag
81,batik,B-Muster
81,/,B-No Tag
81,red,B-Farbe
81,Sneaker,B-Stil
81,/,B-No Tag
81,Schuhe,B-Produktart
81,QG3AWF,B-Herstellernummer
81,rot,B-Farbe
82,DANIEL HECHTER,B-Marke
82,Herrenschuhe,B-Abteilung
82,Slipper Mokassins,B-Produktart
82,Echtleder,B-Obermaterial
82,braun cognac,B-Farbe
82,NEU,B-No Tag
83,Art 850,B-Modell
83,Turnschuhe Schuhe,B-Produktart
83,Sneaker,B-Stil
83,Sportschuhe,B-Produktart
83,Luftpolstersohle,B-Dämpfungsgrad
83,Herren,B-Abteilung
84,Sportschuhe,B-Produktart
84,Sneaker,B-Stil
84,Turnschuhe Laufschuhe,B-Produktart
84,Herrenschuhe,B-Abteilung
84,Freizeit,B-Anlass
84,Schnürer,B-Verschluss
84,62156,B-No Tag
85,Adidas,B-Marke
85,EZ QT,B-Modell
85,MID,B-Schuhschaft-Typ
85,Ladies,B-Abteilung
85,Trainers,B-Produktart
85,Echtleder,B-Obermaterial
85,schwarz,B-Farbe
85,/,B-No Tag
85,weiss,B-Farbe
85,Neu,B-No Tag
85,!,I-No Tag
86,Damen,B-Abteilung
86,schuhe,B-Produktart
86,MBT,B-Marke
86,35,B-EU-Schuhgröße
86,sneakers,B-Stil
86,grau,B-Farbe
86,textil,B-Obermaterial
86,dynamic,B-Modell
86,AB390-35,B-Herstellernummer
87,Herren,B-Abteilung
87,Sneaker,B-Stil
87,Sportschuhe Turnschuhe Laufschuhe,B-Produktart
87,Freizeit,B-Anlass
87,Schwarz Blau,B-Farbe
87,17159,B-No Tag
88,NIKE,B-Marke
88,Air MAX,B-Produktlinie
88,DARWIN 360 90 95 97,B-Modell
88,Neu,B-No Tag
88,Gr,I-No Tag
88,:43,B-EU-Schuhgröße
88,"US :9,5",B-US-Schuhgröße
88,White Weiß,B-Farbe
88,Sneaker,B-Stil
88,jordan,B-Produktlinie
88,kobe,B-Modell
89,New Balance,B-Marke
89,WL393RG1,B-Herstellernummer
89,grau,B-Farbe
89,/,B-No Tag
89,hellblau,B-Farbe
89,",",B-No Tag
89,Damen,B-Abteilung
89,Sneaker,B-Stil
89,",",B-No Tag
89,NEU,I-No Tag
89,im,I-No Tag
89,Karton,I-No Tag
90,PUMA,B-Marke
90,DRIFT CAT 5,B-Modell
90,BMW NM,B-Produktlinie
90,Herrenschuhe,B-Abteilung
90,Sneaker,B-Stil
90,Turnschuhe,B-Produktart
90,Halbschuhe,I-Produktart
90,"42,5 44,5",B-EU-Schuhgröße
91,Nike,B-Marke
91,Air Force 1,B-Produktlinie
91,Pixel White,B-Farbe
91,(,B-No Tag
91,W,B-Abteilung
91,),B-No Tag
91,Weiß,B-Farbe
91,NEU,B-No Tag
91,Sneaker,B-Stil
91,Schuhe,B-Produktart
91,CK6649-100,B-Herstellernummer
92,Herren,B-Abteilung
92,Sneaker,B-Stil
92,Outdoor,B-Anlass
92,Trekkingschuhe Wanderschuhe,B-Produktart
92,Schnürer,B-Verschluss
92,145380,B-Herstellernummer
93,Emerica,B-Marke
93,Wino Cruiser,B-Modell
93,black white green,B-Farbe
93,Sneaker,B-Stil
93,Schuhe,B-Produktart
93,schwarz,B-Farbe
94,K-Swiss,B-Marke
94,Court,B-Produktlinie
94,Palisades,B-Modell
94,Herren,B-Abteilung
94,Schuhe,B-Produktart
94,Sneaker,B-Stil
94,Turnschuhe,B-Produktart
94,06931,B-Herstellernummer
94,(,B-No Tag
94,Weiß,B-Farbe
94,171,B-No Tag
94,),I-No Tag
95,Lacoste,B-Marke
95,Carnaby,B-Produktlinie
95,EVO 118,B-Modell
95,Damen,B-Abteilung
95,Sneaker,B-Stil
95,Weiß,B-Farbe
95,7-35SPW0013216,B-Herstellernummer
95,Freizeit Schuhe,B-Produktart
95,NEU,B-No Tag
96,Asics,B-Marke
96,Damen,B-Abteilung
96,Gel-Kinsei,B-Produktlinie
96,OG,B-Modell
96,Turnschuhe Laufschuhe,B-Produktart
96,Sneaker,B-Stil
96,Weiß,B-Farbe
96,Sport,B-Anlass
97,Asics,B-Marke
97,GEL,B-Produktlinie
97,LYTE V,B-Modell
97,GS,B-Abteilung
97,H70TQ 0101,B-Herstellernummer
97,Weiß,B-Farbe
97,Schuhe Laufschuhe,B-Produktart
97,Sneaker,B-Stil
97,H70TQ0101,B-Herstellernummer
97,Neu,B-No Tag
97,!,I-No Tag
98,ARKK Copenhagen,B-Marke
98,Damensneaker,B-Produktart
98,-,B-No Tag
98,60,I-No Tag
98,%,I-No Tag
98,unter,I-No Tag
98,UVP,I-No Tag
99,Damen,B-Abteilung
99,Sneaker,B-Stil
99,Freizeitschuhe,B-Produktart
99,Footflexx,B-Marke
99,Komfortschuhe,B-Produktart
99,G-Weite,B-Schuhweite
99,37 38 39 40 41,B-EU-Schuhgröße
99,NEU,B-No Tag
100,Nike,B-Marke
100,Air Max Huarache,B-Produktlinie
100,Blau Türkis,B-Farbe
100,SONDERMODELL,B-No Tag
100,",",I-No Tag
100,"EU 38,5",B-EU-Schuhgröße
100,",",B-No Tag
100,*,I-No Tag
100,wie,I-No Tag
100,neu,I-No Tag
100,*,I-No Tag
101,Puma,B-Marke
101,SF,B-Produktlinie
101,Future Cat Ultra,B-Modell
101,Ferrari,B-Produktlinie
101,Jungen,B-Abteilung
101,Sneaker,B-Stil
101,Freizeitschuhe,B-Produktart
101,Gr,B-No Tag
101,:,I-No Tag
101,wählbar,I-No Tag
101,neu,I-No Tag
101,o,I-No Tag
102,Adidas,B-Marke
102,Ultra Boost,B-Produktlinie
102,20,B-Modell
102,Herren,B-Abteilung
102,Sneaker,B-Stil
102,Laufschuhe Turnschuhe,B-Produktart
102,schwarz,B-Farbe
102,FV8329,B-Herstellernummer
102,NEU,B-No Tag
103,Nike,B-Marke
